r|a | Mon Mar  6 19:33:59 2023 | 1 | 1
r|c | Mon Mar  6 19:34:00 2023 | 0 | 2
r|c | Mon Mar  6 19:34:00 2023 | 0 | 3
i | Mon Mar  6 19:34:00 2023 | 4
s|ac | Mon Mar  6 19:34:00 2023 | 5
i | Mon Mar  6 19:34:00 2023 | 6
i | Mon Mar  6 19:34:01 2023 | 7
r|c | Mon Mar  6 19:34:01 2023 | 0 | 8
i | Mon Mar  6 19:34:01 2023 | 9
i | Mon Mar  6 19:34:01 2023 | 10
i | Mon Mar  6 19:34:01 2023 | 11
s|a | Mon Mar  6 19:34:02 2023 | 12
i | Mon Mar  6 19:34:02 2023 | 13
i | Mon Mar  6 19:34:02 2023 | 14
i | Mon Mar  6 19:34:02 2023 | 15
i | Mon Mar  6 19:34:02 2023 | 16
i | Mon Mar  6 19:34:03 2023 | 17
s|c | Mon Mar  6 19:34:03 2023 | 18
s|ac | Mon Mar  6 19:34:03 2023 | 19
i | Mon Mar  6 19:34:03 2023 | 20
i | Mon Mar  6 19:34:03 2023 | 21
s|ac | Mon Mar  6 19:34:04 2023 | 22
i | Mon Mar  6 19:34:04 2023 | 23
r|c | Mon Mar  6 19:34:04 2023 | 0 | 24
s|c | Mon Mar  6 19:34:04 2023 | 25
i | Mon Mar  6 19:34:04 2023 | 26
i | Mon Mar  6 19:34:05 2023 | 27
s|c | Mon Mar  6 19:34:05 2023 | 28
r|c | Mon Mar  6 19:34:05 2023 | 0 | 29
i | Mon Mar  6 19:34:05 2023 | 30
s|a | Mon Mar  6 19:34:05 2023 | 31
i | Mon Mar  6 19:34:06 2023 | 32
r|c | Mon Mar  6 19:34:06 2023 | 0 | 33
r|c | Mon Mar  6 19:34:06 2023 | 0 | 34
s|ac | Mon Mar  6 19:34:06 2023 | 35
i | Mon Mar  6 19:34:06 2023 | 36
s|c | Mon Mar  6 19:34:07 2023 | 37
i | Mon Mar  6 19:34:07 2023 | 38
r|c | Mon Mar  6 19:34:07 2023 | 0 | 39
s|a | Mon Mar  6 19:34:07 2023 | 40
i | Mon Mar  6 19:34:08 2023 | 41
i | Mon Mar  6 19:34:08 2023 | 42
i | Mon Mar  6 19:34:08 2023 | 43
i | Mon Mar  6 19:34:08 2023 | 44
i | Mon Mar  6 19:34:08 2023 | 45
s|ac | Mon Mar  6 19:34:09 2023 | 46
i | Mon Mar  6 19:34:09 2023 | 47
i | Mon Mar  6 19:34:09 2023 | 48
r|c | Mon Mar  6 19:34:09 2023 | 0 | 49
i | Mon Mar  6 19:34:09 2023 | 50
i | Mon Mar  6 19:34:10 2023 | 51
i | Mon Mar  6 19:34:10 2023 | 52
i | Mon Mar  6 19:34:10 2023 | 53
r|c | Mon Mar  6 19:34:10 2023 | 0 | 54
i | Mon Mar  6 19:34:10 2023 | 55
i | Mon Mar  6 19:34:11 2023 | 56
s|a | Mon Mar  6 19:34:11 2023 | 57
s|c | Mon Mar  6 19:34:11 2023 | 58
i | Mon Mar  6 19:34:11 2023 | 59
r|c | Mon Mar  6 19:34:11 2023 | 0 | 60
i | Mon Mar  6 19:34:12 2023 | 61
i | Mon Mar  6 19:34:12 2023 | 62
i | Mon Mar  6 19:34:12 2023 | 63
i | Mon Mar  6 19:34:12 2023 | 64
i | Mon Mar  6 19:34:12 2023 | 65
i | Mon Mar  6 19:34:13 2023 | 66
i | Mon Mar  6 19:34:13 2023 | 67
i | Mon Mar  6 19:34:13 2023 | 68
s|a | Mon Mar  6 19:34:13 2023 | 69
s|c | Mon Mar  6 19:34:13 2023 | 70
s|a | Mon Mar  6 19:34:14 2023 | 71
i | Mon Mar  6 19:34:14 2023 | 72
i | Mon Mar  6 19:34:14 2023 | 73
s|a | Mon Mar  6 19:34:14 2023 | 74
s|c | Mon Mar  6 19:34:14 2023 | 75
i | Mon Mar  6 19:34:15 2023 | 76
i | Mon Mar  6 19:34:15 2023 | 77
i | Mon Mar  6 19:34:15 2023 | 78
r|c | Mon Mar  6 19:34:15 2023 | 0 | 79
i | Mon Mar  6 19:34:15 2023 | 80
r|c | Mon Mar  6 19:34:16 2023 | 0 | 81
i | Mon Mar  6 19:34:16 2023 | 82
i | Mon Mar  6 19:34:16 2023 | 83
i | Mon Mar  6 19:34:16 2023 | 84
i | Mon Mar  6 19:34:16 2023 | 85
s|c | Mon Mar  6 19:34:17 2023 | 86
i | Mon Mar  6 19:34:17 2023 | 87
i | Mon Mar  6 19:34:17 2023 | 88
i | Mon Mar  6 19:34:17 2023 | 89
i | Mon Mar  6 19:34:17 2023 | 90
i | Mon Mar  6 19:34:18 2023 | 91
i | Mon Mar  6 19:34:18 2023 | 92
i | Mon Mar  6 19:34:18 2023 | 93
i | Mon Mar  6 19:34:18 2023 | 94
